Column-0,#,Name,Price,24h,7d,Market Cap,Volume,Circulating Supply,Last 7 Days,Column-10
,1,"Bitcoin

BTC","$49,010.15",0.05%,2.80%,"$915,813,424,515","$46,798,154,053

952,678 BTC","18,643,362 BTC",,
,2,"Ethereum

ETH","$1,544.98",1.43%,4.41%,"$177,506,236,965","$21,346,541,649

13,816,748 ETH","114,892,566 ETH",,
,3,"Cardano

ADA",$1.23,1.56%,24.95%,"$39,404,095,446","$7,039,543,324

5,707,566,838 ADA","31,948,309,441 ADA",,
,4,"Binance Coin

BNB",$244.41,1.87%,0.19%,"$37,770,119,475","$6,081,166,500

24,880,504 BNB","154,532,785 BNB",,
,5,"Tether

USDT",$1.00,0.01%,0.03%,"$35,890,956,375","$88,117,707,385

88,069,587,377 USDT","35,871,356,760 USDT",,
,6,"Polkadot

DOT",$37.23,3.33%,6.18%,"$34,049,682,954","$3,536,557,560

94,998,910 DOT","914,641,633 DOT",,
,7,"XRP

XRP",$0.4433,0.41%,9.26%,"$20,127,662,149","$3,206,256,444

7,232,680,991 XRP","45,404,028,640 XRP",,
,8,"Litecoin

LTC",$189.75,9.66%,5.11%,"$12,634,206,958","$5,619,629,279

29,615,888 LTC","66,583,263 LTC",,
,9,"Chainlink

LINK",$29.85,3.16%,8.25%,"$12,238,895,780","$2,350,690,153

78,749,378 LINK","410,009,556 LINK",,
,10,"Bitcoin Cash

BCH",$531.60,6.05%,1.28%,"$9,924,639,941","$4,592,266,409

8,638,589 BCH","18,669,406 BCH",,
